hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
12,9,357.7,214.86,520.07,425.99
13,9,357.7,214.86,520.07,421.605
14,9,357.7,214.86,520.07,420.66
15,9,357.7,214.86,520.07,427.64
16,9,357.7,214.86,520.07,442.31
17,9,357.7,214.86,520.07,464.28
18,9,357.7,214.86,520.07,480.56
19,9,357.7,214.86,520.07,480.54
20,9,357.7,214.86,520.07,470.58
21,9,357.7,214.86,520.07,446.84
22,9,357.7,214.86,520.07,413.77
23,9,357.7,214.86,520.07,382.74
0,10,357.7,214.86,520.07,294.61
1,10,357.7,214.86,520.07,283.725
2,10,357.7,214.86,520.07,277.43
3,10,357.7,214.86,520.07,275.89
4,10,357.7,214.86,520.07,281.301
5,10,357.7,214.86,520.07,304.287
6,10,357.7,214.86,520.07,329.6
7,10,357.7,214.86,520.07,344.6
8,10,357.7,214.86,520.07,341.209
9,10,357.7,214.86,520.07,344.68
10,10,357.7,214.86,520.07,350.804
11,10,357.7,214.86,520.07,354.6
12,10,357.7,214.86,520.07,354.8
13,10,357.7,214.86,520.07,353.04
14,10,357.7,214.86,520.07,348.08
15,10,357.7,214.86,520.07,352.23
16,10,357.7,214.86,520.07,369.46
17,10,357.7,214.86,520.07,400.79
18,10,357.7,214.86,520.07,422.27
19,10,357.7,214.86,520.07,417.35
20,10,357.7,214.86,520.07,405.72
21,10,357.7,214.86,520.07,376.21
22,10,357.7,214.86,520.07,345.4
23,10,357.7,214.86,520.07,315.67
0,11,357.7,214.86,520.07,306.41
1,11,357.7,214.86,520.07,287.35
2,11,357.7,214.86,520.07,274.4
3,11,357.7,214.86,520.07,269.23
4,11,357.7,214.86,520.07,267.16
5,11,357.7,214.86,520.07,274.28
6,11,357.7,214.86,520.07,294.44
7,11,357.7,214.86,520.07,321.44
8,11,357.7,214.86,520.07,333.8
9,11,357.7,214.86,520.07,332.84
10,11,357.7,214.86,520.07,338.655
11,11,357.7,214.86,520.07,350.445
12,11,357.7,214.86,520.07,355.665
13,11,357.7,214.86,520.07,357.25
14,11,357.7,214.86,520.07,355.81
15,11,357.7,214.86,520.07,353.3
16,11,357.7,214.86,520.07,361.23
17,11,357.7,214.86,520.07,382.8
18,11,357.7,214.86,520.07,409.6
19,11,357.7,214.86,520.07,415.51
20,11,357.7,214.86,520.07,408.24
21,11,357.7,214.86,520.07,400.04
22,11,357.7,214.86,520.07,371.625
23,11,357.7,214.86,520.07,337
0,12,357.7,214.86,520.07,324.65
1,12,357.7,214.86,520.07,305.36
2,12,357.7,214.86,520.07,293.32
3,12,357.7,214.86,520.07,283.32
4,12,357.7,214.86,520.07,278.06
5,12,357.7,214.86,520.07,278.75
6,12,357.7,214.86,520.07,302.26
7,12,357.7,214.86,520.07,326.37
8,12,357.7,214.86,520.07,345
