hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
8,7,1.189,0.9228,0.9178,0.9703,1.223022086
9,7,1.189,0.9228,0.9178,0.9703,1.25374336
10,7,1.189,0.9228,0.9178,0.9703,1.287335756
11,7,1.189,0.9228,0.9178,0.9703,1.311937378
12,7,1.189,0.9228,0.9178,0.9703,1.304808499
13,7,1.189,0.9228,0.9178,0.9703,1.312887895
14,7,1.189,0.9228,0.9178,0.9703,1.300866648
15,7,1.189,0.9228,0.9178,0.9703,1.312742522
16,7,1.189,0.9228,0.9178,0.9703,1.35982667
17,7,1.189,0.9228,0.9178,0.9703,1.424786134
18,7,1.189,0.9228,0.9178,0.9703,1.450712888
19,7,1.189,0.9228,0.9178,0.9703,1.437824993
20,7,1.189,0.9228,0.9178,0.9703,1.424210232
21,7,1.189,0.9228,0.9178,0.9703,1.361607492
22,7,1.189,0.9228,0.9178,0.9703,1.263600783
23,7,1.189,0.9228,0.9178,0.9703,1.164970646
0,8,1.189,0.9228,0.9178,0.9703,1.046902432
1,8,1.189,0.9228,0.9178,0.9703,1.007911658
2,8,1.189,0.9228,0.9178,0.9703,0.980273973
3,8,1.189,0.9228,0.9178,0.9703,0.965753425
4,8,1.189,0.9228,0.9178,0.9703,0.97492312
5,8,1.189,0.9228,0.9178,0.9703,1.020296338
6,8,1.189,0.9228,0.9178,0.9703,1.07553816
7,8,1.189,0.9228,0.9178,0.9703,1.133329606
8,8,1.189,0.9228,0.9178,0.9703,1.167682415
9,8,1.189,0.9228,0.9178,0.9703,1.206052558
10,8,1.189,0.9228,0.9178,0.9703,1.23914733
11,8,1.189,0.9228,0.9178,0.9703,1.247721554
12,8,1.189,0.9228,0.9178,0.9703,1.24752586
13,8,1.189,0.9228,0.9178,0.9703,1.241878669
14,8,1.189,0.9228,0.9178,0.9703,1.237629298
15,8,1.189,0.9228,0.9178,0.9703,1.250349455
16,8,1.189,0.9228,0.9178,0.9703,1.297232318
17,8,1.189,0.9228,0.9178,0.9703,1.352613922
18,8,1.189,0.9228,0.9178,0.9703,1.374531731
19,8,1.189,0.9228,0.9178,0.9703,1.37058988
